,GP  Games played,GS  Games started,AST  Total Assists,APG  Assists Per Game,TO  Turnovers,TOPG  Turnovers Per Game,A/TO  Assists Per Turnover,STL  Total Steals,SPG  Steals Per Game,Player,Position,Team
82,20,20,,,,,,22.0,1.1,Spencer Dinwiddie,PG,DAL
83,15,15,,,,,,16.0,1.07,Zion Williamson,PF,NO
84,17,17,,,,,,18.0,1.06,Ja Morant,PG,MEM
85,18,8,,,,,,19.0,1.06,Trey Murphy III,SF,NO
86,16,16,,,,,,17.0,1.06,Jamal Murray,PG,DEN
87,18,3,,,,,,19.0,1.06,Russell Westbrook,PG,LAL
88,18,8,,,,,,19.0,1.06,Justise Winslow,SF,POR
89,20,8,,,,,,21.0,1.05,Bruce Brown,SF,DEN
90,19,19,,,,,,20.0,1.05,Jaylen Brown,SF,BOS
91,20,20,,,,,,21.0,1.05,DeMar DeRozan,SF,CHI
92,20,20,,,,,,21.0,1.05,Dorian Finney-Smith,SF,DAL
93,20,20,,,,,,21.0,1.05,Buddy Hield,SG,IND
94,19,19,,,,,,20.0,1.05,Marcus Smart,PG,BOS
95,23,2,,,,,,24.0,1.04,Malik Beasley,SG,UTA
96,19,19,,,,,,19.0,1.0,Bam Adebayo,C,MIA
97,20,0,,,,,,20.0,1.0,Javonte Green,PF,CHI
98,19,19,,,,,,19.0,1.0,Keldon Johnson,SF,SA
99,15,15,,,,,,15.0,1.0,Tyrese Maxey,PG,PHI
100,19,19,,,,,,19.0,1.0,Anfernee Simons,SG,POR
101,17,0,,,,,,17.0,1.0,John Wall,PG,LAC
102,19,15,,,,,,18.0,0.95,Santi Aldama,PF,MEM
103,20,20,,,,,,19.0,0.95,Draymond Green,PF,GS
104,19,11,,,,,,18.0,0.95,John Konchar,SG,MEM
105,21,3,,,,,,20.0,0.95,Jalen McDaniels,PF,CHA
106,21,21,,,,,,20.0,0.95,Evan Mobley,PF,CLE
107,20,20,,,,,,19.0,0.95,Jeremy Sochan,PF,SA
108,16,2,,,,,,15.0,0.94,Kyle Anderson,SF,MIN
109,16,16,,,,,,15.0,0.94,Giannis Antetokounmpo,PF,MIL
110,17,16,,,,,,16.0,0.94,Scottie Barnes,PF,TOR
111,17,1,,,,,,16.0,0.94,AJ Griffin,SF,ATL
112,18,10,,,,,,17.0,0.94,Cameron Payne,PG,PHO
113,17,17,,,,,,16.0,0.94,Lonnie Walker IV,SF,LAL
114,20,1,,,,,,18.0,0.9,Josh Green,SG,DAL
115,20,20,,,,,,18.0,0.9,Jakob Poeltl,C,SA
116,18,1,,,,,,16.0,0.89,Usman Garuba,PF,HOU
117,18,0,,,,,,16.0,0.89,R.J. Hampton,PG,ORL
118,18,4,,,,,,16.0,0.89,Tre Mann,PG,OKC
119,17,15,,,,,,15.0,0.88,Grayson Allen,SF,MIL
120,16,0,,,,,,14.0,0.88,Chris Boucher,C,TOR
121,15,15,,,,,,13.0,0.87,Brandon Ingram,SF,NO
122,15,6,,,,,,13.0,0.87,Andrew Nembhard,PG,IND
123,14,14,,,,,,12.0,0.86,Patrick Beverley,PG,LAL
124,21,21,,,,,,18.0,0.86,John Collins,PF,ATL
125,22,4,,,,,,19.0,0.86,Jordan Poole,SG,GS
126,21,16,,,,,,18.0,0.86,Derrick White,SG,BOS
127,20,20,,,,,,17.0,0.85,Jerami Grant,PF,POR
128,20,13,,,,,,17.0,0.85,Jeremiah Robinson-Earl,C,OKC
129,20,20,,,,,,17.0,0.85,Jayson Tatum,PF,BOS
130,19,17,,,,,,16.0,0.84,Saddiq Bey,SF,DET
131,19,18,,,,,,16.0,0.84,Reggie Bullock,SF,DAL
132,19,1,,,,,,16.0,0.84,Theo Maledon,PG,CHA
133,23,0,,,,,,19.0,0.83,Talen Horton-Tucker,SF,UTA
134,18,0,,,,,,15.0,0.83,Larry Nance Jr.,PF,NO
135,18,8,,,,,,15.0,0.83,Cam Reddish,SF,NY
136,18,8,,,,,,15.0,0.83,Edmond Sumner,PG,BKN
137,17,17,,,,,,14.0,0.82,Dillon Brooks,SF,MEM
138,22,5,,,,,,18.0,0.82,Norman Powell,SG,LAC
139,17,3,,,,,,14.0,0.82,Matisse Thybulle,SF,PHI
140,21,7,,,,,,17.0,0.81,Isaiah Hartenstein,C,NY
141,21,21,,,,,,17.0,0.81,Julius Randle,PF,NY
142,16,14,,,,,,13.0,0.81,Devin Vassell,SG,SA
143,16,0,,,,,,13.0,0.81,Gabe Vincent,PG,MIA
144,21,21,,,,,,17.0,0.81,Franz Wagner,G,ORL
145,15,0,,,,,,12.0,0.8,Jordan McLaughlin,PG,MIN
146,20,20,,,,,,16.0,0.8,Marcus Morris,PF,LAC
147,20,20,,,,,,16.0,0.8,Trae Young,PG,ATL
148,19,19,,,,,,15.0,0.79,Harrison Barnes,PF,SAC
149,19,19,,,,,,15.0,0.79,Domantas Sabonis,C,SAC
150,19,12,,,,,,15.0,0.79,Max Strus,SG,MIA
151,18,18,,,,,,14.0,0.78,Monte Morris,PG,WAS
152,18,0,,,,,,14.0,0.78,Daishen Nix,PG,HOU
153,18,8,,,,,,14.0,0.78,Terrence Ross,SG,ORL
154,21,21,,,,,,16.0,0.76,Nicolas Claxton,C,BKN
155,17,15,,,,,,13.0,0.76,Keegan Murray,PF,SAC
156,17,14,,,,,,13.0,0.76,Alperen Sengun,C,HOU
157,21,21,,,,,,16.0,0.76,Karl-Anthony Towns,PF,MIN
158,20,20,,,,,,15.0,0.75,Jalen Green,SG,HOU
