,GP  Games played,GS  Games started,MPG  Minutes Per Game,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,AST  Total Assists,APG  Assists Per Game,TO  Turnovers,TOPG  Turnovers Per Game,A/TO  Assists Per Turnover,Player,Position,Team
138,16,1,,,,,,40.0,2.5,17.0,1.1,2.4,Kevin Love,PF,CLE
139,19,1,,,,,,48.0,2.5,24.0,1.3,2.0,Theo Maledon,PG,CHA
140,17,17,,,,,,43.0,2.5,45.0,2.7,1.0,Jusuf Nurkic,C,POR
141,21,18,,,,,,51.0,2.4,30.0,1.4,1.7,Deni Avdija,SF,WAS
142,17,17,,,,,,41.0,2.4,23.0,1.4,1.8,Aaron Gordon,PF,DEN
143,17,14,,,,,,41.0,2.4,40.0,2.4,1.0,Alperen Sengun,C,HOU
144,19,19,,,,,,43.0,2.3,24.0,1.3,1.8,Kentavious Caldwell-Pope,SG,DEN
145,21,21,,,,,,48.0,2.3,47.0,2.2,1.0,Evan Mobley,PF,CLE
146,19,19,,,,,,43.0,2.3,27.0,1.4,1.6,Andrew Wiggins,SF,GS
147,19,19,,,,,,41.0,2.2,44.0,2.3,0.9,Steven Adams,C,MEM
148,20,20,,,,,,44.0,2.2,53.0,2.7,0.8,OG Anunoby,SF,TOR
149,21,21,,,,,,47.0,2.2,24.0,1.1,2.0,Luguentz Dort,SF,OKC
150,20,0,,,,,,44.0,2.2,11.0,0.6,4.0,Devonte' Graham,PG,NO
151,23,0,,,,,,50.0,2.2,30.0,1.3,1.7,Talen Horton-Tucker,SF,UTA
152,23,23,,,,,,51.0,2.2,49.0,2.1,1.0,Lauri Markkanen,SF,UTA
153,20,20,,,,,,44.0,2.2,23.0,1.2,1.9,Caleb Martin,SF,MIA
154,21,3,,,,,,46.0,2.2,29.0,1.4,1.6,Jalen McDaniels,PF,CHA
155,18,0,,,,,,40.0,2.2,26.0,1.4,1.5,Daishen Nix,PG,HOU
156,19,5,,,,,,41.0,2.2,22.0,1.2,1.9,Bobby Portis,C,MIL
157,17,17,,,,,,37.0,2.2,30.0,1.8,1.2,Klay Thompson,SG,GS
158,18,18,,,,,,38.0,2.1,33.0,1.8,1.2,Deandre Ayton,C,PHO
159,16,16,,,,,,34.0,2.1,19.0,1.2,1.8,Herbert Jones,SG,NO
160,19,1,,,,,,40.0,2.1,20.0,1.1,2.0,Davion Mitchell,PG,SAC
161,19,7,,,,,,39.0,2.1,21.0,1.1,1.9,Austin Reaves,SG,LAL
162,17,7,,,,,,35.0,2.1,14.0,0.8,2.5,Thaddeus Young,PF,TOR
163,18,1,,,,,,36.0,2.0,18.0,1.0,2.0,Tim Hardaway Jr.,SG,DAL
164,19,4,,,,,,38.0,2.0,18.0,1.0,2.1,Naji Marshall,SF,NO
165,19,19,,,,,,38.0,2.0,19.0,1.0,2.0,Marcus Morris,PF,LAC
166,21,0,,,,,,42.0,2.0,20.0,1.0,2.1,Jaylen Nowell,SG,MIN
167,18,0,,,,,,36.0,2.0,16.0,0.9,2.3,Derrick Rose,PG,NY
168,20,20,,,,,,40.0,2.0,31.0,1.6,1.3,Jeremy Sochan,PF,SA
169,20,20,,,,,,40.0,2.0,40.0,2.0,1.0,Jonas Valanciunas,C,NO
170,19,19,,,,,,37.0,1.9,22.0,1.2,1.7,Harrison Barnes,PF,SAC
171,18,4,,,,,,35.0,1.9,18.0,1.0,1.9,Tre Mann,PG,OKC
172,18,0,,,,,,35.0,1.9,17.0,0.9,2.1,Larry Nance Jr.,PF,NO
173,17,17,,,,,,32.0,1.9,20.0,1.2,1.6,Lonnie Walker IV,SF,LAL
174,21,21,,,,,,40.0,1.9,39.0,1.9,1.0,P.J. Washington,PF,CHA
175,20,10,,,,,,38.0,1.9,17.0,0.9,2.2,Grant Williams,PF,BOS
176,21,9,,,,,,37.0,1.8,22.0,1.1,1.7,Terance Mann,SF,LAC
177,19,12,,,,,,34.0,1.8,25.0,1.3,1.4,Max Strus,SG,MIA
178,15,5,,,,,,26.0,1.7,11.0,0.7,2.4,Aaron Wiggins,SF,OKC
179,18,0,,,,,,30.0,1.7,19.0,1.1,1.6,R.J. Hampton,PG,ORL
180,20,11,,,,,,34.0,1.7,11.0,0.6,3.1,Joe Harris,SG,BKN
181,21,0,,,,,,35.0,1.7,21.0,1.0,1.7,Cedi Osman,SF,CLE
182,18,14,,,,,,30.0,1.7,24.0,1.3,1.3,Aleksej Pokusevski,PF,OKC
183,16,0,,,,,,27.0,1.7,12.0,0.8,2.3,Cameron Thomas,SG,BKN
184,20,0,,,,,,32.0,1.6,41.0,2.1,0.8,Bennedict Mathurin,SG,IND
185,17,16,,,,,,27.0,1.6,21.0,1.2,1.3,Gary Trent Jr.,SG,TOR
