,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,Player,Position,Team
252,19,0,17.5,,,,,,,,,,,13.0,33.0,46.0,2.4,T.J. McConnell,PG,IND
253,18,10,25.2,,,,,,,,,,,6.0,38.0,44.0,2.4,Cameron Payne,PG,PHO
254,16,0,12.8,,,,,,,,,,,6.0,33.0,39.0,2.4,Isaiah Roby,C,SA
255,23,6,23.7,,,,,,,,,,,18.0,37.0,55.0,2.4,Collin Sexton,SG,UTA
256,19,5,20.3,,,,,,,,,,,12.0,33.0,45.0,2.4,Shaedon Sharpe,SG,POR
257,17,17,31.5,,,,,,,,,,,7.0,33.0,40.0,2.4,Lonnie Walker IV,SF,LAL
258,15,0,14.3,,,,,,,,,,,11.0,24.0,35.0,2.3,Oshae Brissett,SF,IND
259,15,15,35.9,,,,,,,,,,,5.0,29.0,34.0,2.3,Darius Garland,PG,CLE
260,16,1,18.6,,,,,,,,,,,10.0,27.0,37.0,2.3,Caleb Houstan,SG,ORL
261,15,6,20.7,,,,,,,,,,,6.0,28.0,34.0,2.3,Andrew Nembhard,PG,IND
262,18,8,24.8,,,,,,,,,,,6.0,36.0,42.0,2.3,Terrence Ross,SG,ORL
263,17,16,31.3,,,,,,,,,,,13.0,26.0,39.0,2.3,Gary Trent Jr.,SG,TOR
264,19,0,13.8,,,,,,,,,,,13.0,29.0,42.0,2.2,Christian Braun,SG,DEN
265,19,1,19.1,,,,,,,,,,,16.0,26.0,42.0,2.2,Josh Green,SG,DAL
266,17,2,22.9,,,,,,,,,,,7.0,31.0,38.0,2.2,Josh Richardson,SG,SA
267,16,0,17.6,,,,,,,,,,,4.0,31.0,35.0,2.2,Duncan Robinson,SG,MIA
268,16,0,25.8,,,,,,,,,,,4.0,31.0,35.0,2.2,Gabe Vincent,PG,MIA
269,17,17,30.2,,,,,,,,,,,6.0,30.0,36.0,2.1,Eric Gordon,SF,HOU
270,18,1,23.7,,,,,,,,,,,3.0,34.0,37.0,2.1,Tim Hardaway Jr.,SG,DAL
271,19,0,22.6,,,,,,,,,,,8.0,32.0,40.0,2.1,Malik Monk,SG,SAC
272,21,0,19.7,,,,,,,,,,,4.0,41.0,45.0,2.1,Georges Niang,PF,PHI
273,17,1,17.5,,,,,,,,,,,14.0,20.0,34.0,2.0,AJ Griffin,SF,ATL
274,16,0,15.9,,,,,,,,,,,15.0,17.0,32.0,2.0,Wesley Matthews,SG,MIL
275,21,4,19.3,,,,,,,,,,,11.0,32.0,43.0,2.0,Isaac Okoro,SG,CLE
276,21,4,27.6,,,,,,,,,,,6.0,35.0,41.0,2.0,Jordan Poole,SG,GS
277,19,0,21.3,,,,,,,,,,,6.0,31.0,37.0,1.9,George Hill,PG,MIL
278,19,0,20.9,,,,,,,,,,,5.0,31.0,36.0,1.9,Doug McDermott,SF,SA
