,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,OREB  Offensive Rebounds,DREB  Defensive Rebounds,REB  Total Rebounds,RPG  Rebounds Per Game,Player,Position,Team
53,20,20,35.8,,,,,,,,,,,37.0,132.0,169.0,8.5,Josh Hart,SF,POR
54,15,15,29.1,,,,,,,,,,,22.0,105.0,127.0,8.5,Myles Turner,C,IND
55,23,23,33.7,,,,,,,,,,,53.0,141.0,194.0,8.4,Lauri Markkanen,SF,UTA
56,20,20,32.0,,,,,,,,,,,42.0,122.0,164.0,8.2,Kristaps Porzingis,C,WAS
57,21,21,33.8,,,,,,,,,,,35.0,137.0,172.0,8.2,Karl-Anthony Towns,PF,MIN
58,21,21,24.8,,,,,,,,,,,49.0,124.0,173.0,8.2,Jarred Vanderbilt,C,UTA
59,20,20,34.4,,,,,,,,,,,19.0,142.0,161.0,8.1,Kyle Kuzma,PF,WAS
60,21,16,27.1,,,,,,,,,,,31.0,135.0,166.0,7.9,Bol Bol,PF,ORL
61,20,20,36.6,,,,,,,,,,,18.0,135.0,153.0,7.7,Jayson Tatum,PF,BOS
62,17,0,25.5,,,,,,,,,,,20.0,110.0,130.0,7.6,Christian Wood,C,DAL
63,21,21,32.2,,,,,,,,,,,25.0,132.0,157.0,7.5,John Collins,PF,ATL
64,20,20,24.0,,,,,,,,,,,36.0,109.0,145.0,7.3,Jalen Smith,PF,IND
65,19,0,21.8,,,,,,,,,,,57.0,80.0,137.0,7.2,Jalen Duren,C,DET
66,16,1,20.7,,,,,,,,,,,13.0,102.0,115.0,7.2,Kevin Love,PF,CLE
67,19,19,30.0,,,,,,,,,,,27.0,109.0,136.0,7.2,Jabari Smith,PF,HOU
68,18,18,30.3,,,,,,,,,,,28.0,100.0,128.0,7.1,Josh Giddey,PG,OKC
69,20,7,22.5,,,,,,,,,,,60.0,82.0,142.0,7.1,Isaiah Hartenstein,C,NY
70,21,21,22.9,,,,,,,,,,,48.0,96.0,144.0,6.9,Kevon Looney,C,GS
71,19,19,34.5,,,,,,,,,,,11.0,118.0,129.0,6.8,Stephen Curry,PG,GS
72,17,17,28.5,,,,,,,,,,,43.0,71.0,114.0,6.7,Aaron Gordon,PF,DEN
73,21,0,19.7,,,,,,,,,,,64.0,76.0,140.0,6.7,Nick Richards,C,CHA
74,17,16,33.1,,,,,,,,,,,32.0,80.0,112.0,6.6,Scottie Barnes,PF,TOR
75,16,0,23.7,,,,,,,,,,,41.0,65.0,106.0,6.6,Chris Boucher,C,TOR
76,22,22,36.7,,,,,,,,,,,9.0,136.0,145.0,6.6,Kevin Durant,PF,BKN
77,17,12,28.1,,,,,,,,,,,17.0,96.0,113.0,6.6,Ben Simmons,PG,BKN
78,19,19,35.4,,,,,,,,,,,17.0,107.0,124.0,6.5,Jaylen Brown,SF,BOS
79,19,19,33.9,,,,,,,,,,,18.0,105.0,123.0,6.5,Tobias Harris,PF,PHI
80,19,11,27.4,,,,,,,,,,,28.0,94.0,122.0,6.4,John Konchar,SG,MEM
81,17,17,32.9,,,,,,,,,,,22.0,86.0,108.0,6.4,Ja Morant,PG,MEM
82,15,15,31.3,,,,,,,,,,,30.0,66.0,96.0,6.4,Zion Williamson,PF,NO
83,17,17,31.2,,,,,,,,,,,20.0,87.0,107.0,6.3,Al Horford,C,BOS
84,16,3,16.1,,,,,,,,,,,26.0,74.0,100.0,6.3,DeAndre Jordan,C,DEN
85,19,19,30.5,,,,,,,,,,,12.0,103.0,115.0,6.1,Draymond Green,PF,GS
86,20,20,36.6,,,,,,,,,,,29.0,91.0,120.0,6.0,OG Anunoby,SF,TOR
87,16,16,34.3,,,,,,,,,,,8.0,88.0,96.0,6.0,Paul George,SF,LAC
88,20,2,20.8,,,,,,,,,,,42.0,78.0,120.0,6.0,Onyeka Okongwu,C,ATL
89,16,16,29.1,,,,,,,,,,,19.0,77.0,96.0,6.0,Michael Porter Jr.,SF,DEN
90,21,21,36.4,,,,,,,,,,,13.0,110.0,123.0,5.9,Anthony Edwards,SG,MIN
91,21,21,36.8,,,,,,,,,,,15.0,109.0,124.0,5.9,Dejounte Murray,PG,ATL
92,19,15,25.8,,,,,,,,,,,31.0,79.0,110.0,5.8,Santi Aldama,PF,MEM
93,19,19,30.9,,,,,,,,,,,32.0,78.0,110.0,5.8,Brook Lopez,C,MIL
94,19,19,34.6,,,,,,,,,,,30.0,81.0,111.0,5.8,Kevin Porter,PG,HOU
95,19,19,30.7,,,,,,,,,,,22.0,82.0,104.0,5.5,Harrison Barnes,PF,SAC
96,20,20,34.8,,,,,,,,,,,19.0,90.0,109.0,5.5,R.J. Barrett,SF,NY
97,20,5,25.2,,,,,,,,,,,30.0,79.0,109.0,5.5,Kenyon Martin Jr.,SF,HOU
98,19,19,33.2,,,,,,,,,,,31.0,74.0,105.0,5.5,Andrew Wiggins,SF,GS
99,20,20,36.9,,,,,,,,,,,20.0,87.0,107.0,5.4,Devin Booker,SG,PHO
100,20,20,37.2,,,,,,,,,,,22.0,85.0,107.0,5.4,Mikal Bridges,SF,PHO
101,18,0,22.4,,,,,,,,,,,31.0,64.0,95.0,5.3,Larry Nance Jr.,PF,NO
102,20,0,18.4,,,,,,,,,,,42.0,62.0,104.0,5.2,Tari Eason,F,HOU
103,18,1,16.1,,,,,,,,,,,37.0,57.0,94.0,5.2,Usman Garuba,PF,HOU
