,GP  Games played,GS  Games started,STL  Total Steals,SPG  Steals Per Game,BLK  Total Blocks,BPG  Blocks Per Game,Player,Position,Team
89,15,15,,,11.0,0.73,Bradley Beal,SG,WAS
90,15,0,,,11.0,0.73,Derrick Jones Jr.,SF,CHI
91,18,18,,,13.0,0.72,Deandre Ayton,C,PHO
92,18,1,,,13.0,0.72,Usman Garuba,PF,HOU
93,21,18,,,15.0,0.71,Deni Avdija,SF,WAS
94,17,12,,,12.0,0.71,Ben Simmons,PG,BKN
95,21,16,,,15.0,0.71,Derrick White,SG,BOS
96,20,20,,,14.0,0.7,Draymond Green,PF,GS
97,20,0,,,14.0,0.7,Javonte Green,PF,CHI
98,23,23,,,16.0,0.7,Kelly Olynyk,PF,UTA
99,16,0,,,11.0,0.69,Maxi Kleber,PF,DAL
100,22,22,,,15.0,0.68,Royce O'Neale,PF,BKN
101,15,15,,,10.0,0.67,Brandon Ingram,SF,NO
102,21,21,,,14.0,0.67,Kyle Lowry,PG,MIA
103,18,0,,,12.0,0.67,Paul Reed,SF,PHI
104,15,11,,,10.0,0.67,Dennis Smith Jr.,PG,CHA
105,21,21,,,14.0,0.67,Karl-Anthony Towns,PF,MIN
106,17,15,,,11.0,0.65,Keegan Murray,PF,SAC
107,16,2,,,10.0,0.63,Dalano Banton,PG,TOR
108,19,19,,,12.0,0.63,Jevon Carter,PG,MIL
109,16,3,,,10.0,0.63,DeAndre Jordan,C,DEN
110,21,21,,,13.0,0.62,D'Angelo Russell,PG,MIN
111,17,17,,,10.0,0.59,Nikola Jokic,C,DEN
112,17,17,,,10.0,0.59,CJ McCollum,PG,NO
113,21,6,,,12.0,0.57,Isaiah Livers,SF,DET
114,21,3,,,12.0,0.57,Jalen McDaniels,PF,CHA
115,21,21,,,12.0,0.57,Mason Plumlee,C,CHA
116,18,2,,,10.0,0.56,Jonathan Kuminga,PF,GS
117,16,9,,,9.0,0.56,Aaron Nesmith,SF,IND
118,18,0,,,10.0,0.56,Christian Wood,C,DAL
119,20,8,,,11.0,0.55,Bruce Brown,SF,DEN
120,20,20,,,11.0,0.55,Dorian Finney-Smith,SF,DAL
121,15,15,,,8.0,0.53,Wendell Carter Jr.,C,ORL
122,19,19,,,10.0,0.53,Luka Doncic,PG,DAL
123,17,2,,,9.0,0.53,Wenyen Gabriel,PF,LAL
124,15,7,,,8.0,0.53,JaVale McGee,C,DAL
125,15,0,,,8.0,0.53,Naz Reid,C,MIN
126,18,18,,,9.0,0.5,De'Aaron Fox,PG,SAC
127,20,5,,,10.0,0.5,Kenyon Martin Jr.,SF,HOU
128,20,20,,,10.0,0.5,Jeremy Sochan,PF,SA
129,20,20,,,10.0,0.5,Devin Booker,SG,PHO
130,16,0,,,8.0,0.5,Rui Hachimura,PF,WAS
131,22,22,,,11.0,0.5,Kevon Looney,C,GS
132,18,7,,,9.0,0.5,Chuma Okeke,PF,ORL
133,20,13,,,10.0,0.5,Jeremiah Robinson-Earl,C,OKC
134,14,14,,,7.0,0.5,Fred VanVleet,PG,TOR
135,19,19,,,9.0,0.47,Ayo Dosunmu,PG,CHI
136,19,19,,,9.0,0.47,Tobias Harris,PF,PHI
137,15,14,,,7.0,0.47,Jrue Holiday,PG,MIL
138,19,19,,,9.0,0.47,Kevin Huerter,SG,SAC
139,19,12,,,9.0,0.47,De'Anthony Melton,SG,PHI
140,19,19,,,9.0,0.47,Kevin Porter,PG,HOU
141,19,19,,,9.0,0.47,Domantas Sabonis,C,SAC
142,15,15,,,7.0,0.47,Zion Williamson,PF,NO
143,20,20,,,9.0,0.45,Caleb Martin,SF,MIA
144,20,10,,,9.0,0.45,Grant Williams,PF,BOS
145,18,0,,,8.0,0.44,Dewayne Dedmon,C,MIA
146,16,16,,,7.0,0.44,Paul George,SF,LAC
147,18,18,,,8.0,0.44,Josh Giddey,PG,OKC
148,18,5,,,8.0,0.44,Montrezl Harrell,C,PHI
149,16,0,,,7.0,0.44,Trey Lyles,C,SAC
150,18,8,,,8.0,0.44,Trey Murphy III,SF,NO
151,18,8,,,8.0,0.44,Cam Reddish,SF,NY
152,16,14,,,7.0,0.44,Devin Vassell,SG,SA
153,18,3,,,8.0,0.44,Russell Westbrook,PG,LAL
154,18,8,,,8.0,0.44,Justise Winslow,SF,POR
155,14,14,,,6.0,0.43,Patrick Beverley,PG,LAL
