,GP  Games played,GS  Games started,BLK  Total Blocks,BPG  Blocks Per Game,MPG  Minutes Per Game,PF  Total Personal Fouls,PFG  Personal Fouls Per Game,FLG  Flagrant Fouls,TF  Technical Fouls,EJ  Ejections,DSQ  Disqualifications,Player,Position,Team
139,17,17,,,29.2,35.0,2.1,0.0,0.0,0.0,0.0,Mike Conley,PG,UTA
140,19,19,,,29.1,52.0,2.7,0.0,0.0,0.0,0.0,Ayo Dosunmu,PG,CHI
141,21,21,,,29.1,39.0,1.9,0.0,0.0,0.0,0.0,Reggie Jackson,PG,LAC
142,16,16,,,29.1,42.0,2.6,1.0,0.0,0.0,0.0,Michael Porter Jr.,SF,DEN
143,15,15,,,29.1,50.0,3.3,0.0,0.0,0.0,0.0,Myles Turner,C,IND
144,17,17,,,29.0,57.0,3.4,0.0,1.0,0.0,0.0,Jusuf Nurkic,C,POR
145,14,13,,,28.9,44.0,3.1,0.0,0.0,0.0,2.0,Jalen Suggs,SG,ORL
146,18,18,,,28.8,46.0,2.6,0.0,0.0,0.0,0.0,Reggie Bullock,SF,DAL
147,17,15,,,28.8,36.0,2.1,1.0,0.0,0.0,0.0,Keegan Murray,PF,SAC
148,21,21,,,28.7,53.0,2.5,0.0,1.0,0.0,0.0,P.J. Tucker,PF,PHI
149,16,16,,,28.6,55.0,3.4,0.0,1.0,0.0,1.0,Herbert Jones,SG,NO
150,17,17,,,28.5,31.0,1.8,1.0,2.0,0.0,0.0,Aaron Gordon,PF,DEN
151,19,7,,,28.5,29.0,1.5,0.0,0.0,0.0,0.0,Austin Reaves,SG,LAL
152,23,23,,,28.3,92.0,4.0,2.0,1.0,0.0,3.0,Kelly Olynyk,PF,UTA
153,18,3,,,28.2,44.0,2.4,0.0,2.0,0.0,0.0,Russell Westbrook,PG,LAL
154,20,10,,,28.2,56.0,2.8,0.0,2.0,1.0,0.0,Grant Williams,PF,BOS
155,20,0,,,28.1,38.0,1.9,0.0,2.0,0.0,0.0,Bennedict Mathurin,SG,IND
156,19,12,,,28.1,38.0,2.0,0.0,1.0,0.0,0.0,De'Anthony Melton,SG,PHI
157,17,12,,,28.1,64.0,3.8,0.0,2.0,0.0,4.0,Ben Simmons,PG,BKN
158,17,7,,,28.1,53.0,3.1,0.0,1.0,0.0,0.0,Justise Winslow,SF,POR
159,15,11,,,27.9,34.0,2.3,0.0,0.0,0.0,0.0,Dennis Smith Jr.,PG,CHA
160,19,19,,,27.6,41.0,2.2,0.0,0.0,0.0,0.0,Clint Capela,C,ATL
161,5,2,,,27.6,12.0,2.4,0.0,0.0,0.0,0.0,Gary Harris,SG,ORL
162,18,8,,,27.6,30.0,1.7,0.0,0.0,0.0,0.0,Trey Murphy III,SF,NO
163,21,4,,,27.6,47.0,2.2,1.0,3.0,0.0,0.0,Jordan Poole,SG,GS
164,14,14,,,27.4,43.0,3.1,0.0,3.0,1.0,0.0,Patrick Beverley,PG,LAL
165,21,21,,,27.4,61.0,2.9,1.0,2.0,0.0,0.0,Nicolas Claxton,C,BKN
166,19,11,,,27.4,35.0,1.8,0.0,0.0,0.0,0.0,John Konchar,SG,MEM
167,19,19,,,27.2,55.0,2.9,0.0,1.0,0.0,0.0,Jevon Carter,PG,MIL
168,20,20,,,27.2,46.0,2.3,0.0,0.0,0.0,0.0,Jakob Poeltl,C,SA
169,21,16,,,27.1,33.0,1.6,0.0,0.0,0.0,0.0,Bol Bol,PF,ORL
170,21,21,,,27.1,68.0,3.2,0.0,1.0,0.0,1.0,Mason Plumlee,C,CHA
171,15,15,,,27.1,45.0,3.0,0.0,1.0,0.0,0.0,Isaiah Stewart,C,DET
172,19,5,,,27.0,35.0,1.8,0.0,3.0,0.0,0.0,Bobby Portis,C,MIL
173,18,18,,,26.9,22.0,1.2,0.0,0.0,0.0,0.0,Monte Morris,PG,WAS
174,17,15,,,26.8,26.0,1.5,0.0,0.0,0.0,0.0,Grayson Allen,SF,MIL
175,23,2,,,26.7,27.0,1.2,0.0,1.0,0.0,0.0,Malik Beasley,SG,UTA
176,17,14,,,26.7,61.0,3.6,0.0,1.0,0.0,3.0,Alperen Sengun,C,HOU
177,19,19,,,26.6,48.0,2.5,0.0,2.0,0.0,0.0,Steven Adams,C,MEM
178,13,9,,,26.4,15.0,1.2,0.0,0.0,0.0,0.0,Corey Kispert,SG,WAS
179,21,16,,,26.3,54.0,2.6,0.0,0.0,0.0,0.0,Derrick White,SG,BOS
180,17,15,,,26.2,30.0,1.8,0.0,0.0,0.0,0.0,Troy Brown Jr.,SF,LAL
181,5,5,,,26.0,13.0,2.6,0.0,1.0,0.0,0.0,Jaren Jackson Jr.,PF,MEM
182,19,15,,,25.8,50.0,2.6,0.0,2.0,0.0,0.0,Santi Aldama,PF,MEM
183,20,5,,,25.8,44.0,2.2,0.0,0.0,0.0,0.0,Alex Caruso,SG,CHI
184,21,3,,,25.8,59.0,2.8,0.0,1.0,0.0,0.0,Jalen McDaniels,PF,CHA
185,16,0,,,25.8,41.0,2.6,0.0,0.0,0.0,0.0,Gabe Vincent,PG,MIA
186,20,20,,,25.8,40.0,2.0,0.0,0.0,0.0,1.0,Patrick Williams,PF,CHI
187,17,0,,,25.5,47.0,2.8,0.0,0.0,0.0,1.0,Christian Wood,C,DAL
