,GP  Games played,GS  Games started,MPG  Minutes Per Game,PPG  Points Per Game,FGM  Field Goals Made,FGA  Field Goals Attempted,FG%  Field Goal Percentage,3FGM  Three-Point Field Goals Made,3FGA  Three-Point Field Goals Attempted,3FG%  Three-Point Field Goal Percentage,FTM  Free Throws Made,FTA  Free Throws Attempted,FT%  Free Throw Percentage,Player,Position,Team
235,15,6,15.5,5.3,30,78,38.5,12,41,29.3,7,10,70.0,MarJon Beauchamp,SG,MIL
236,19,0,17.2,5.3,38,113,33.6,14,59,23.7,10,16,62.5,James Bouknight,SG,CHA
237,15,0,12.1,5.3,33,57,57.9,3,15,20.0,10,11,90.9,Chimezie Metu,PF,SAC
238,21,0,12.6,5.1,43,59,72.9,0,0,—,22,35,62.9,Daniel Gafford,C,WAS
239,17,2,14.4,5.1,33,75,44.0,11,28,39.3,9,14,64.3,Cory Joseph,SG,DET
240,16,0,24.9,5.1,29,65,44.6,12,40,30.0,11,14,78.6,Maxi Kleber,PF,DAL
241,16,0,18.4,5.1,29,70,41.4,19,49,38.8,5,5,100.0,Jake LaRavia,SF,MEM
242,17,0,13.2,5.1,23,62,37.1,22,59,37.3,19,20,95.0,Garrison Mathews,SF,HOU
243,15,0,13.0,5.0,22,53,41.5,3,15,20.0,28,33,84.8,Derrick Jones Jr.,SF,CHI
244,20,0,15.1,5.0,43,60,71.7,0,0,—,14,26,53.8,Walker Kessler,C,UTA
245,15,0,8.1,4.9,24,50,48.0,19,42,45.2,7,9,77.8,Isaiah Joe,SG,OKC
246,18,1,14.8,4.9,28,71,39.4,15,46,32.6,18,22,81.8,Moses Moody,SF,GS
247,16,0,12.8,4.9,30,64,46.9,11,26,42.3,8,18,44.4,Isaiah Roby,C,SA
248,19,18,27.9,4.8,30,103,29.1,23,85,27.1,8,11,72.7,Reggie Bullock,SF,DAL
249,16,0,13.6,4.8,30,44,68.2,2,5,40.0,14,15,93.3,Luke Kornet,C,BOS
